Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК
Цех_1,14,2011-10-19 08:00:00,2.8,1.6,2.1,1.6,1.3,0.9,1.9,1.0,0.6,,,,,,,,,,1.2,1.0,1.8,,,,,,,,,4681.0,4855.0,,35.1,40.4,хорошо,хорошо,хорошо,"SKF-GX,№71014", 10 - 5000,82219, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2011-11-22 08:00:00,1.2,1.0,1.7,1.3,0.9,0.9,1.1,1.1,1.1,,,,,,,,,,1.0,0.6,1.2,,,,,,,,,4805.0,5085.0,,39.0,48.2,отлично,отлично,отлично,"SKF-GX,№71014", 10 - 5000,82600, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2011-12-14 08:00:00,2.6,2.7,2.6,1.0,1.2,1.6,2.0,0.6,0.7,,,,,,,,,,0.9,0.7,1.1,,,,,,,,,4460.0,4600.0,,32.1,38.0,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,83221, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-01-12 08:15:00,2.3,1.1,2.1,2.4,0.9,1.0,2.3,2.3,1.2,,,,,,,,,,1.2,0.6,1.7,,,,,,,,,4740.0,4700.0,,43.8,52.0,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,83901, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-02-24 11:00:00,2.6,1.3,2.4,1.2,2.1,1.0,2.2,2.4,1.6,,,,,,,,,,2.4,0.8,1.9,,,,,,,,,4891.0,4968.0,,43.2,51.2,хорошо,хорошо,хорошо,ВИК-3 №7, 10 - 5000,84173, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-03-26 14:00:00,2.3,1.3,1.8,1.2,1.2,1.2,1.3,1.1,1.0,,,,,,,,,,1.35,0.96,1.4,,,,,,,,,4750.0,4820.0,,39.8,46.9,хорошо,отлично,хорошо,ВИК-3 №7, 10 - 5000,84390, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-04-25 08:30:00,3.5,2.9,4.1,2.3,2.1,2.0,5.5,1.4,1.6,,,,,,,,,,1.2,1.2,1.6,,,,,,,,,4870.0,5010.0,,40.8,49.6,допустимо,отлично,допустимо,"SKF-GX,№71014", 10 - 5000,84778, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-08-15 08:00:00,1.3,1.4,0.9,0.6,0.9,1.7,0.94,0.8,0.64,,,,,,,,,,1.3,1.0,2.1,,,,,,,,,4780.0,4860.0,,41.3,50.0,отлично,хорошо,хорошо,ВИК-3 №7, 10 - 5000,86113, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-10-17 13:15:00,1.2,1.0,1.1,1.0,0.9,0.8,1.1,0.9,0.4,,,,,,,,,,1.0,0.7,1.2,,,,,,,,,4840.0,4810.0,,38.6,44.6,отлично,отлично,отлично,ВИК-3 №7, 10 - 5000,86403, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,14,2012-11-09 08:00:00,1.5,1.0,1.6,0.9,1.0,0.6,1.5,0.7,0.5,,,,,,,,,,0.7,0.7,2.4,,,,,,,,,4740.0,4820.0,,34.8,40.9,отлично,хорошо,хорошо,ВИК-3 №7, 10 - 5000,86923, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
