index,Ст_№_ГПА,Оценка_ГПА,Оценка_ГТУ,Оценка_ЦБН,Филиал,Цех,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Ст_№_ГПА,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
2522,34,удовл.,хорошо,удовл.,Приводинское ЛПУМГ,Цех_3,ГТК-10И(Р),MS3002R,PCL-802/24,34,3.45,,39.0
3281,37,удовл.,отлично,удовл.,Приводинское ЛПУМГ,Цех_3бис,ГТН-16М1,ГТН-16М-1,"2Н-16-76-1,44М-1",37,4.2,1.95,89.0
5975,55,хорошо,хорошо,отлично,Приводинское ЛПУМГ,Цех_5,"ГПА-Ц1-16С/76-1,44",ДГ 90Л2.1,291ГЦ2-385/53-76М,55,6.8,,95.0
6087,61,отлично,отлично,отлично,Приводинское ЛПУМГ,Цех_6,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,61,8.2,,88.0
6464,73,отлично,отлично,отлично,Приводинское ЛПУМГ,Цех_7,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,73,8.2,,73.0
