,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
10,Цех_1,11,2004-03-23 10:00:00,,,,,,,,2.6,,,,,,,,,,,1.1,,,,,,,,,,,4790.0,5000.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.6,1.1,
11,Цех_1,11,2004-04-13 10:00:00,,,,,,,,3.8,,,,,,,,,,,1.6,,,,,,,,,,,4800.0,5000.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.8,1.6,
12,Цех_1,11,2004-04-26 10:00:00,,,,,,,,3.3,,,,,,,,,,,2.1,,,,,,,,,,,4660.0,4810.0,,,,хорошо,хорошо,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.3,2.1,
13,Цех_1,11,2004-05-15 10:00:00,1.2,1.3,1.2,1.1,1.1,0.8,3.1,4.0,1.1,,,,,,,,,,0.7,0.7,1.0,,,,,,,,,4910.0,4920.0,,,,хорошо,отлично,хорошо,№00763,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,4.0,1.0,
14,Цех_1,11,2004-05-24 10:00:00,1.3,1.3,1.4,1.0,1.1,0.8,3.2,3.9,1.1,,,,,,,,,,0.9,0.8,1.0,,,,,,,,,5060.0,4960.0,,,,хорошо,отлично,хорошо,ВК-5№763,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.9,1.0,
15,Цех_1,11,2004-06-10 10:00:00,,,,,,,,3.5,,,,,,,,,,,1.5,,,,,,,,,,,4860.0,4860.0,,,,хорошо,отлично,хорошо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,3.5,1.5,
16,Цех_1,11,2004-06-24 10:00:00,,,,,,,,2.2,,,,,,,,,,,3.0,,,,,,,,,,,4650.0,4780.0,,,,хорошо,допустимо,допустимо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.2,3.0,
17,Цех_1,11,2004-07-26 10:00:00,,,,,,,,2.2,,,,,,,,,,,2.6,,,,,,,,,,,4670.0,4760.0,,,,хорошо,допустимо,допустимо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.2,2.6,
18,Цех_1,11,2004-09-23 10:00:00,,,,,,,,5.3,,,,,,,,,,,2.8,,,,,,,,,,,4895.0,5230.0,,,,допустимо,допустимо,допустимо,ВИК-3,10 - 1000*,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,5.3,2.8,
19,Цех_1,11,2005-01-17 13:40:00,1.4,1.7,1.1,1.7,1.7,1.0,4.4,4.7,0.9,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,4740.0,5170.0,,33.5,40.3,допустимо,отлично,допустимо,ВК-5 №1401,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,4.7,0.9,
20,Цех_1,11,2005-04-08 11:00:00,1.2,0.8,1.3,1.0,0.6,0.6,2.6,2.0,0.8,,,,,,,,,,0.8,0.7,1.5,,,,,,,,,4800.0,4920.0,,38.1,43.0,хорошо,отлично,хорошо,ВК-5 №1401,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.6,1.5,
21,Цех_1,11,2005-04-11 10:00:00,1.1,0.8,1.2,0.9,0.7,0.7,2.2,1.4,0.6,,,,,,,,,,0.7,0.7,1.1,,,,,,,,,4700.0,4860.0,,33.0,38.4,хорошо,отлично,хорошо,ВК-5 №1401,10 - 1000,,,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1,2.2,1.1,
