,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
5209,Цех_4,48,2022-03-14 15:00:00,10.5,7.6,6.7,4.5,4.7,3.0,,,,5.5,5.5,2.9,8.7,7.2,4.6,7.2,5.2,5.5,2.2,1.8,2.0,,,,,,,,,7190.0,5200.0,4540.0,58.1,67.8,удовл.,отлично,удовл.,"SKF-GX,№71014",10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГПУ-10,ДР59Л,Н-370-18-1,10.5,2.2,
5210,Цех_4,48,2022-03-28 15:00:00,10.7,7.3,6.2,5.5,5.7,4.6,8.9,5.0,4.0,5.6,4.6,3.0,7.8,7.4,4.6,6.2,6.3,5.1,2.0,1.7,1.2,,,,,,,,,7230.0,5280.0,4670.0,57.8,68.0,удовл.,отлично,удовл.,"SKF-GX,№71014",10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГПУ-10,ДР59Л,Н-370-18-1,10.7,2.0,
5211,Цех_4,48,2022-03-29 15:00:00,11.1,10.1,10.9,5.1,5.0,3.2,8.9,5.0,4.0,4.4,5.8,2.3,6.6,7.0,6.1,8.2,5.9,6.0,3.1,1.8,1.6,,,,,,,,,7230.0,5280.0,4670.0,57.8,68.0,удовл.,хорошо,удовл.,"SKF-GX,№71014",10 - 1000,,*,Приводинское ЛПУМГ,КС-14,ГПУ-10,ДР59Л,Н-370-18-1,11.1,3.1,
5523,Цех_5,52,2022-03-14 16:00:00,,7.4,,,6.6,,,5.2,,,,,,,,,,,,,,,,,75.0,85.0,86.0,88.0,51.0,8750.0,6810.0,4810.0,50.1,68.3,хорошо,отлично,хорошо,"СКВ: SKF-GX,№71014 /ИВ-Д-ПФ-17М; АСТД-2М ЦБН /",30 - 400,, -,Приводинское ЛПУМГ,КС Приводинская,"ГПА-Ц1-16С/76-1,44",ДГ 90Л2.1,291ГЦ2-385/53-76М,7.4,,88.0
5524,Цех_5,52,2022-03-28 16:00:00,,7.1,,,6.2,,,5.5,,,,,,,,,,,,,,,,,79.0,82.0,81.0,85.0,48.0,8630.0,6660.0,4790.0,49.5,68.4,хорошо,отлично,хорошо,"СКВ: SKF-GX,№71014 /ИВ-Д-ПФ-17М; АСТД-2М ЦБН /",30 - 400,, -,Приводинское ЛПУМГ,КС Приводинская,"ГПА-Ц1-16С/76-1,44",ДГ 90Л2.1,291ГЦ2-385/53-76М,7.1,,85.0
5974,Цех_5,55,2022-03-14 15:00:00,,6.8,,,7.1,,,6.2,,,,,,,,,,,,,,,,,68.0,72.0,77.0,93.0,58.0,8820.0,6820.0,4720.0,50.15,67.92,хорошо,отлично,хорошо,"СКВ: SKF-GX,№71014 /ИВ-Д-ПФ-17М; АСТД-2М ЦБН /",30 - 400,, -,Приводинское ЛПУМГ,КС Приводинская,"ГПА-Ц1-16С/76-1,44",ДГ 90Л2.1,291ГЦ2-385/53-76М,7.1,,93.0
5975,Цех_5,55,2022-03-28 15:00:00,,5.8,,,6.8,,,5.7,,,,,,,,,,,,,,,,,62.0,68.0,82.0,95.0,55.0,8700.0,6690.0,4740.0,49.5,68.0,хорошо,отлично,хорошо,"СКВ: SKF-GX,№71014 /ИВ-Д-ПФ-17М; АСТД-2М ЦБН /",30 - 400,, -,Приводинское ЛПУМГ,КС Приводинская,"ГПА-Ц1-16С/76-1,44",ДГ 90Л2.1,291ГЦ2-385/53-76М,6.8,,95.0
6086,Цех_6,61,2022-03-14 13:50:00,,7.6,,8.9,,,,6.7,,,,,,,,,,,,,,,,,69.0,71.0,74.0,84.0,57.0,9290.0,6710.0,4550.0,69.8,97.8,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,8.9,,84.0
6087,Цех_6,61,2022-03-28 13:50:00,,7.1,,8.2,,,,7.9,,,,,,,,,,,,,,,,,61.0,68.0,61.0,88.0,59.0,9300.0,6730.0,4600.0,67.9,95.7,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,8.2,,88.0
6211,Цех_6,62,2022-03-14 10:30:00,,7.5,,7.2,,,,8.2,,,,,,,,,,,,,,,,,63.0,72.0,66.0,85.0,44.0,9120.0,6750.0,4600.0,70.6,98.61,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,8.2,,85.0
6212,Цех_6,62,2022-03-28 10:30:00,,8.6,,7.8,,,,8.9,,,,,,,,,,,,,,,,,55.0,78.0,54.0,87.0,50.0,9090.0,6730.0,4660.0,68.0,95.9,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,8.9,,87.0
6446,Цех_6,64,2022-03-14 16:00:00,,7.4,,9.1,,,,10.6,,,,,,,,,,,,,,,,,61.0,55.0,58.0,56.0,45.0,9290.0,6830.0,4560.0,70.64,98.59,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,НК-36СТ,352ГЦ2-440/70-100М,10.6,,61.0
6451,Цех_7,71,2022-03-09 00:00:00,,5.5,,6.9,,,,,,,,,,,,,,,,,,,,,48.0,65.0,59.0,63.0,55.0,11440.0,4040.0,4630.0,70.1,97.6,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,6.9,,65.0
6452,Цех_7,71,2022-03-28 00:00:00,,5.8,,7.5,,,,,,,,,,,,,,,,,,,,,51.0,68.0,64.0,69.0,50.0,11520.0,4070.0,4600.0,68.0,95.7,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,7.5,,69.0
6457,Цех_7,72,2022-03-18 00:00:00,,5.2,,6.3,,,,,,,,,,,,,,,,,,,,,49.0,52.0,55.0,59.0,54.0,11150.0,4050.0,4650.0,70.2,97.5,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,6.3,,59.0
6464,Цех_7,73,2022-03-14 00:00:00,,6.6,,8.2,,,,,,,,,,,,,,,,,,,,,59.0,73.0,58.0,52.0,40.0,11310.0,4044.0,4600.0,70.48,98.8,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,8.2,,73.0
6470,Цех_7,74,2022-03-14 00:00:00,,6.2,,8.2,,,,,,,,,,,,,,,,,,,,,58.0,44.0,65.0,55.0,48.0,11330.0,4050.0,4600.0,71.05,99.0,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,8.2,,65.0
6471,Цех_7,74,2022-03-28 00:00:00,,6.8,,8.5,,,,,,,,,,,,,,,,,,,,,58.0,44.0,65.0,55.0,48.0,11460.0,4090.0,4610.0,68.32,96.1,отлично,отлично,отлично,штат. СКВ САУ (пик), 30-180,,-,Приводинское ЛПУМГ,КС Новоприводинская,ГПА-Ц-25НК/РМ.СМ,ПС-90ГП-25,352ГЦ2-440/70-100М,8.5,,65.0
